title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"Alibi.com 2\" : Philippe Lacheau invité du 20H de TF1"	"Le film \"Alibi.com 2\" sortira en salles mercredi 8 février 2023. Ce dimanche, le réalisateur et producteur Philippe Lacheau était l'invité du 20H de TF1.  Lors de son passage sur notre antenne, Philippe Lacheau a évoqué l'amitié qui règne dans sa bande à Fifi. \"Ça remonte à l'enfance. Avec Julien, on a grandi dans la même résidence à la Celle-Saint-Cloud. Donc on se connaît depuis bébé. On n'était pas copain au début, parce que Julien a deux ans de plus que moi. Après, au fur et à mesure de sa scolarité, il a commencé à redoubler. Vers le collège, on est devenu copain. Après, Tarek, il l'a rencontré en BTS. Et c'est là qu'il me l'a présenté. Donc, ça fait longtemps déjà\", raconte-t-il. Une bande d'amis d'enfance qu'Élodie Fontan, sa femme à l'écran et dans la vie, a rejointe. \"Au scénario, il y a aussi mon petit frère qui écrit avec nous. Mes parents apparaissent toujours dans mes films. C'est un peu mes porte-bonheur. Être très entouré de la famille et des amis, c'est important\", confie-t-il. Avec la bande à Fifi, Philippe Lacheau rencontre toujours le même succès. Tous ses films ont largement dépassé le million et demi d'entrées au cinéma. \"Ce n'est pas loin de 12 millions d'entrées cumulées, ce qui reste moins qu'Avatar 2. On a beaucoup de chance. Quand on a un rire dans la salle, c'est comme si on avait marqué un but en ligue des champions\", affirme-t-il. Découvrez l'intégralité de son interview dans la vidéo en tête de cet article."	""	TF1	2	6	2023
"\"C'est bien si ça tombe sur ce dont on a besoin\" : nous avons testé le panier anti-inflation"	"Face à la hausse des prix, le gouvernement a demandé aux grandes surfaces la mise en place d'un panier anti-inflation. Une opération pour préserver le pouvoir d'achat qui a été entendu par une première enseigne. Que peut-on y trouver ? Les prix sont-ils intéressants ? On fait le point.  C'est le nouvel argument pour attirer les clients en magasin : 150 produits à prix coûtant. Dans cette liste, on nous a promis qu'on pouvait trouver tout ce dont on avait besoin. Alors, on a fait le test. Commençons d'abord par le rayon hygiène. 500 ml de shampoing pour 1,6 euro, le prix est imbattable. \"C'est bien si ça tombe sur ce dont on a besoin. Tout le problème, il est là\", déclare un client. Dans d'autres rayons, on ne trouve aucune promotion. Par exemple, il n'y a pas de dentifrice ni de protection périodique à prix coûtant. L'enseigne fait mieux sur le nettoyage, notamment le savon de Marseille, la lessive, le liquide vaisselle... Pour être sûr de faire de bonnes affaires, nous avons comparé les tarifs. Entre les marques distributeur et les marques nationales, l'écart s'accentue. À prix coûtant, on trouve un pot de sauce bolognaise à 3,37 euros/kg, comptez 4,80 euros/kg pour celui de marque nationale. Pour l'enseigne, c'est aussi un moyen de vous faire pousser les portes du magasin."	""	TF1	2	2	2023
"\"C'est un choc, c'est notre pouvoir principal\" : les contrôles douaniers fragilisés par le Conseil constitutionnel"	"Les douaniers lancent une alerte : désormais, il y a un risque que les trafiquants de drogue ne soient pas condamnés. L'article 60 du code des douanes pourrait être contraire à la Constitution, en entravant la libre circulation des véhicules. Concrètement, les personnes condamnées pourraient aujourd'hui contester les contrôles des douanes.  Près de deux tonnes et demie de cannabis ont été saisies dans ce camion sur l’autoroute près de Bordeaux (Gironde). Une prise importante pour les douaniers qui a été réalisée le 30 janvier dernier. Mais aussi surprenant que cela puisse paraître, il y a un risque actuellement pour que les trafiquants ne soient pas condamnés. Comment est-ce possible ? L’article 60 du Code des douanes, qui permet le contrôle des véhicules, pourrait être contraire à la Constitution. Toutes les saisies réalisées grâce à ces contrôles pourraient être déclarées nulles. Impossible de condamner dans ce cas de figure. C’est une aberration pour les syndicats des douaniers. \"C'est un choc, c'est l'incompréhension, c'est notre pouvoir principal. Ce qu'il faut comprendre, c'est que nous, on prend des risques pour faire ces affaires. Il y a tous les jours des barrages forcés, il y a des blessés toutes les semaines. À la fin, on libère les personnes qu'on a interpellées, c'est totalement incompréhensible\", réagit le secrétaire de la CFDT Douanes. En septembre 2022, le Conseil constitutionnel est saisi. Le contrôle douanier des véhicules empêcherait la liberté d’aller et venir garantit par la Constitution. Sans arrêter l’application de l’article 60, l’institution donne aux douanes un an pour le réécrire. Auparavant, il n’y avait aucune remise en cause. Mais aujourd'hui un doute s’installe, les avocats des trafiquants en profitent pour demander la relaxe de leurs clients. \"Cet article est fragilisé et il peut être contesté devant les tribunaux\", explique maître Bangoura, avocat au barreau de Bourges. Contactées, les douanes assurent être soutenues par le ministère de la Justice, rappellent que ses agents continueront de contrôler les véhicules, et qu'elles feront appel de toute décision de justice qu'elles jugeront défavorables. Même si aujourd'hui, elles sont très peu nombreuses."	""	TF1	2	3	2023
"\"C'est un défi\" : comment l'Occident espère augmenter sa production de munitions"	"Emmanuel Macron a durci ses propos face au Kremlin lors de son discours à la conférence de Munich pour la sécurité. Les Occidentaux y ont souligné qu’il est difficile de fournir de nouvelles munitions à l’Ukraine dans les temps impartis.  Qu'elles soient pour les fusils d’assaut, pour ces soldats ukrainiens qui défendent leurs tranchées, ou encore de plus gros calibres. L’approvisionnement en munitions, obus, missiles, roquettes, est crucial pour chacune des deux armées. Les Ukrainiens ne pourraient pas tenir sans celle fournie par l’OTAN, mais leur situation se complique. \"Le rythme actuel d'utilisation de munitions (...) est beaucoup plus élevé que notre rythme actuel de production. Oui, nous avons un problème, oui, c'est un défi\", a affirmé Jens Stoltenberg, secrétaire général de l'OTAN. Pour les obus d’artillerie, notamment. L'armée ukrainienne en tire 5000 par jour. Les États-Unis, qui en fournissent beaucoup à Kiev (Ukraine), en produisent 14.000 par mois. L’Hexagone, qui est aussi fournisseur, en fabrique seulement 10.000 par an. Pourquoi les niveaux de production sont-ils si bas ? C’est parce que les munitions coûtent cher. Pour un obus classique, il faut 6000 euros et 28.000 euros pour les obus intelligents. Le gouvernement français assurait dès le mois de juin vouloir accélérer la fabrication de munitions. Problème, le mois dernier, les fabricants interrogés disaient toujours attendre ces commandes supplémentaires. L’État a trop tardé, d'après certains experts et militaires, et mal anticipé la durée du conflit en Ukraine. À cela, s'ajoutent des délais administratifs incompressibles. Le ministère des Armées nous a assurés que le pays va renforcer ses capacités industrielles pour la fabrication des munitions cette année. L'État va investir cette année 2 milliards d'euros dans la fabrication de munitions. C'est 500 millions de plus que l'an dernier."	""	TF1	2	20	2023
"\"Carmen\" au cinéma : l'opéra de Bizet adapté par Benjamin Millepied, entre danse et réflexion sur l'immigration"	"Le premier film de Benjamin Millepied sortira en salles mercredi 14 juin. À 46 ans, le danseur et chorégraphe se lance dans le cinéma avec une adaptation de \"Carmen\", résolument moderne.Dans une nouvelle adoption moderne du célèbre opéra, Carmen est Mexicaine, et tente d’entrer aux États-Unis. Sauvée par un soldat américain, elle s’enfuit avec lui, et trouve refuge dans la danse. \"C’est un drame, avec de la musique et de la danse. Ce n’est pas une comédie musicale fantaisiste légère. L’idée, c’était d’amener la danse de manière organique, et de pas couper ces danses\", explique Benjamin Millepied, le réalisateur. Une quinzaine d’adaptations sur grand écran Depuis l'œuvre de Bizet en 1875, Carmen est devenue l’opéra le plus joué au monde. Un personnage emblématique de liberté, adapté au cinéma dès le début du XXe siècle, par Charlie Chaplin. Une quinzaine d’adaptations sur grand écran ont suivi. Certaines sont restées très fidèles à l’opéra, d’autres transposées en version hip-hop. Toutes conservent toutefois la passion d’origine, car Carmen est une histoire qui séduit encore, 150 ans plus tard. Pour son premier film, le chorégraphe et danseur étoile a inventé une nouvelle Carmen, confrontée à des problèmes d’immigration et ivre de liberté."	""	France 3	6	11	2023
"\"Choose France\" : pourquoi les investisseurs étrangers choisissent notre pays ?"	"Treize milliards d'euros investis, 8000 emplois créés... C'est le bilan du rendez-vous annuel des investisseurs du monde entier, réunis lundi au château de Versailles pour \"Choose France\". L'occasion de s'interroger : pourquoi ceux qui choisissent notre pays le font-ils ?  Pour la sixième édition de \"Choose France\", qui a réuni lundi 15 mai plus de 200 patrons étrangers au château de Versailles, Emmanuel Macron a adressé un petit mot pour chaque patron. Et a offert une place de choix pour Elon Musk. Mais à la sortie, le dirigeant de Tesla n'a, pour l'instant, aucune annonce à faire. Il affirme juste être confiant, qu'à l'avenir son entreprise fera des investissements \"significatifs\" en France. Ce sixième sommet se veut celui des records : presque partout en France, 28 projets, et 8000 emplois promis dans les années à venir. Le danois Velux, déjà présent en France, investit 40 millions d'euros supplémentaires en Saône-et-Loire. Mais qu'est-ce qui séduit les entreprises étrangères ? \"La France est un grand marché, c'est un pays très stable\", salue Lars Petersson, le PDG de Velux. Dans le développement durable, l'entreprise portugaise Powerdot, spécialisée dans les bornes de recharges, va créer une soixantaine d'emplois. La qualité de la formation est aussi un atout français. Parmi ces investissements, beaucoup sont des extensions de sites existants. Il y a finalement assez peu de nouvelles usines."	""	TF1	5	16	2023
"\"Des baisses entre 10 et 20 % \" : un mois de juillet morose pour les restaurateurs"	"En ce dernier jour du mois de juillet, il est temps de tirer un premier bilan des vacances. Après un été record en 2022, celui de 2023 s'annonce d'ores-et -déjà plus mitigé dans certaines régions. Une équipe de TF1 est allée à la rencontre des professionnels qui espèrent, désormais, limiter leurs pertes en août.  Le crachin et les cirés vont conclure ce mois de juillet en Loire-Atlantique. La température ne dépasse pas les 21°C, le temps n'a rien à voir avec celui de l'été dernier. \"Je dirai même les six dernières années parce que ça fait un moment qu'on vient ici et d'habitude, c'est un mois formidable. Cette année, ce n'est pas folichon\", se désole une vacancière dans la vidéo en tête de cet article. La plage attire moins, et les terrasses aussi. Les professionnels du tourisme subissent une fréquentation en baisse. \"Tout ce qui est brasserie et restaurant, on est sur des baisses entre 10 et 20 % en matière de volumes couverts.\", rapporte Alexandre Thiebaud, vice-président de l'Union des métiers et des industries et de l'hôtellerie de Loire-Atlantique. Outre la météo, la crise du pouvoir d'achat incite aussi les vacanciers à limiter leurs dépenses. Sur la Côte d'Azur, le bilan des professionnels du tourisme est aussi décevant. Tous comptent désormais sur les mois d'août et de septembre pour limiter leurs pertes."	""	TF1	7	31	2023
"\"Des mains en or\" : Josiane Balasko en rebouteuse gouailleuse dans une comédie pleine de vie d'Isabelle Mergault"	"Le long métrage \"Des mains en or\" sort en salles mercredi 7 juin. Le quatrième film d’Isabelle Mergault raconte l’improbable rencontre entre un écrivain et une guérisseuse.La comédie Des mains en or, en salles mercredi 7 juin, raconte l’histoire d’une rencontre entre écrivain célèbre et une rebouteuse. \"Elle voit débarquer ce type chez elle qui est assez prétentieux. […] Elle va lui apprendre à vivre\", explique la comédienne Josiane Balasko qui prête ses traits à la guérisseuse. L’écrivain, interprété par Lambert Wilson, connaît le succès, mais un mal de dos chronique l’empêche de savourer sa vie, malgré les bons soins de sa femme médecin. Rencontre entre le rationnel et l’irrationnel Ce sont les mains en or de Martha qui vont faire un miracle. Il y a du vécu dans cette histoire. Isabelle Mergault, la réalisatrice, a eu recours à une guérisseuse pour soigner son genou. Elle témoigne : \"Les médecins n’ont rien fait pour moi. Ils ne trouvaient pas ce que j’avais. Cette femme a fait que j’ai bien remarché.\" Quand un intellectuel snob se confronte à l’irrationnel, il peut même finir par se convertir aux joies d’une vie toute simple."	""	France 3	6	7	2023
"\"Donjons et Dragons\" : l'univers du jeu de rôle revisité au cinéma avec humour"	"Le film \"Donjons et Dragons : L’Honneur des voleurs\", est adapté du jeu de société du même nom. Le réalisateur a misé sur les effets spéciaux, des stars et beaucoup d’humour.Donjons et Dragons : L’Honneur des voleurs, une aventure épique dans un monde imaginaire, est aussi l’histoire d’un cambriolage qui tourne mal. Ajoutez beaucoup l’humour et de second degré, c’est l’univers de Donjons et Dragons revisité. À l’origine, c’est un jeu de rôle, avec des figurines de monstres et de guerriers. Chacun s’invente son personnage dans des aventures fantastiques. Hugh Grant dans le rôle du méchant Créé aux Etats-Unis il y a près de 50 ans, il s’est propagé en France dans les années 80. Aujourd'hui, le phénomène est devenu mondial. Il y aurait 40 millions de joueurs sur la planète. Les studios hollywoodiens ont flairé l’aubaine et lancé une adaptation spectaculaire. Le rôle du méchant a été convié à l’acteur Hugh Grant, qui s’illustre loin des comédies romantiques qui ont fait son succès. \"Je ne connaissais rien au jeu, je n’y comprends toujours rien. J’ai pris ça comme un film normal, j’ai trouvé le scénario très drôle. Ça parle de loser, j’aime bien ça\", confie-t-il."	""	France 3	4	11	2023
"\"En plein feu\" : le cauchemar des incendies des Landes porté au cinéma"	"Récurrents chaque été, les incendies sont pourtant rarement explorés par le septième art. Avec \"En plein feu\", en salles mercredi prochain, le phénomène est porté à l'écran. Le film, interprété par André Dussolier et Alex Lutz, retrace l'évacuation de centaines d'habitants au cœur d'une forêt qui s'embrase, faisant écho aux brasiers qui se sont multipliés l'été dernier.  L'alerte est donnée, l'incendie menace et la population doit être évacuée. Le long-métrage En plein feu, réalisé par Quentin Reynaud, décrit minute par minute la tension qui monte et les flammes imprévisibles qui piègent un père et son fils. Tous deux se retrouvent au milieu d'une file d'automobilistes, bloqués sur une route au milieu de la forêt, tandis que la fumée se propage, que la température grimpe et que des cendres flottent déjà dans l'air. \"Ils ne vont pas laisser des centaines de bagnoles coincées au milieu de la forêt, s'ils pensent qu'il y a un risque\", tonne le père, campé par André Dussolier. Sur une réplique exacte de la route, bientôt cernée par l'incendie, les voitures peuvent prendre feu sur commande grâce à des tuyaux posés sur les capots et reliés à des bonbonnes de gaz. Un cascadeur, enduit de gel protecteur, se transforme même en torche humaine. Sous 35 degrés, les acteurs jouent les instants les plus angoissants de l'histoire dans une obscurité grandissante. \"On a l'envie d'en sortir, de s'échapper de cette lumière qui est tout sauf naturelle, puisque l'on est en plein jour normalement\", décrit l'autre tête d'affiche du film, Alex Lutz."	""	TF1	3	4	2023
