title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"A côté de toi\" : découvrez l'hymne 2020 des Enfoirés"	"SOLIDARITÉ - Les Enfoirés ont dévoilé ce lundi leur hymne 2020. Ils vous emmènent dans les airs à travers le clip de \"À côté de toi\".  Les Enfoirés sont en concert cette semaine à Paris pour enregistrer leur nouvelle émission. Ils font également découvrir leur nouvel hymne 2020. \"À côté de toi\", c'est une dizaine de voix, des paroles qui s'affichent, une mélodie qui met de bonne humeur et qui reste dans la tête. Un voyage dans les airs composé par Tibz et Boulevard des Airs. Ce sujet a été diffusé dans le journal télévisé de 13H du 13/01/2020 présenté par Jean-Pierre Pernaut sur TF1. Vous retrouverez au programme du JT de 13H du 13 janvier 2020 des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	1	13	2020
"\"A un moment donné, l'équilibre psychologique va changer\", Gérald Bronner"	"Un comportement de relâchement a été constaté chez les Français. Pour mieux comprendre ce changement, Gérald Bronner, sociologue, nous donne des explications.  Le Covid-19 a éditorialisé le monde, mais \"la priorité des Français est en train de changer\", affirme Gérald Bronner. \"Nous voyons d'abord les conséquences primaires\", c'est-à-dire le nombre de morts. Mais il ne faut pas négliger \"les conséquences secondaires qui vont se faire sentir pendant de nombreux mois\", ajoute-t-il. A l'exemple de la famine, qui va compter 1,3 million de personnes en plus. Une situation qui amène les gens à une envie de redémarrage. Quid de la gestion des risques ? Ce sujet a été diffusé dans le journal télévisé de 13H du 26/04/2020 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 13H du 26 avril 2020 des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	4	26	2020
"\"Arthrose TV\" : les résidents d'un Ehpad des Landes créent leur propre journal télévisé"	"REPORTAGE - Des résidents d'un Ehpad de Mimizan (Landes) ont décidé de créer un JT décalé sur Internet. Une initiative amusante qui leur permet d'oublier les tracas du quotidien.  En créant leur propre journal télévisé baptisé \"Arthrose TV\", des retraités de Mimizan (Landes) voulaient prouver que la vie en Ehpad peut être joyeuse. L'aventure a duré plus d'un an, entre l'écriture, les répétitions et les tournages de reportages. A la clé, un JT de 25 minutes complètement décalé où les thèmes d'actualité, des Gilets jaunes à la fracture numérique en passant par la canicule, sont traités au second degré. Ces résidents ont réussi leur pari : changer le regard porté sur les Ehpad et prouver qu'il n'y a pas d'âge pour s'amuser."	""	TF1	1	30	2020
"\"Assurons-nous que les pays en développement en bénéficient\" : Bill Gates appelle à mieux partager les efforts contre le coronavirus"	"Dans une lettre ouverte, le milliardaire américain Bill Gates a demandé aux chefs de gouvernement de s'entendre pour une réponse commune face à la crise sanitaire. Il a pris le temps de répondre aux questions de France 2.Grâce à sa fortune autant que sa fondation philanthropique, le milliardaire américain Bill Gates est une voix écoutée. Dans une lettre ouverte, adressée aux gouvernements des pays riches, le fondateur de Microsoft exhorte les décideurs politiques à parvenir à une réponse globale contre l'épidémie de Covid-19. Notamment, il demande que le matériel médical soit partagé, plutôt qu'il ne fasse l'objet d'une guerre logistique. Des usines pour les futurs vaccins Avec sa fondation, il s'est déjà engagé à créer des usines de production pour un futur vaccin, promettant plusieurs milliards de dollars. Alors, il réclame des fonds en faveur de la recherche scientifique. \"Ils investissent des centaines de milliards pour sauver leur économie. Mon idée c'est que si 1% de ça va au reste du monde, au bout du compte ça bénéficiera aux plus riches aussi\", a-t-il expliqué à France 2."	Elsa Pallot	France 2	4	12	2020
"\"Boulanger de France\" : un label pour reconnaître les vrais artisans boulangers"	"Nos artisans boulangers se dotent d'un label pour mettre en avant leur savoir-faire. La marque \"Boulanger de France\" oblige tous les prétendants à fabriquer leurs produits sur place et favoriser la transmission.  La baguette, un de nos emblèmes nationaux, est à l'origine d'un tout nouveau label : \"Boulanger de France\". Les artisans boulangers peuvent l'afficher fièrement et se démarquer des produits industriels. Cette mention concernera aussi les viennoiseries, les pâtisseries et d'autres spécialités. Mais pour l'obtenir, tous les produits doivent être fabriqués sur place et le boulanger doit favoriser la transmission en prenant des apprentis. Ce sujet a été diffusé dans le journal télévisé de 20H du 11/01/2020 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 20H du 11 janvier 2020 des reportages sur l’actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	1	11	2020
"\"Ce n'est pas seulement un sport mais un mode de vie\", ils bravent le confinement pour surfer"	ACTE DE DÉSOBÉISSANCE - Malgré le confinement, les plages sont ouvertes mais les sports nautiques restent interdits. Une mesure que ne comprennent pas ceux qui les pratiquent. Des surfeurs se sont rassemblés samedi sur une plage du Morbihan  Samedi, une centaine de surfeurs ont bravé les règles du confinement pour se rassembler sur la plage de Guidel (Morbihan). Ils protestent contre l'interdiction des sports nautiques qui, pour eux, sont un véritable mode de vie. La plupart ont donc pris le risque de se faire verbaliser en sortant plus d'une heure à plus d'un kilomètre de chez eux. Ils ont tenu à répondre à un appel lancé sur les réseaux sociaux par un passionné de glisse, convaincu que les sports nautiques ne transmettent pas le virus. Le mouvement ne fait pourtant pas l'unanimité. Beaucoup craignent qu'autoriser certains loisirs en discriminerait d'autres. Les autorités locales, elles, appellent à la patience car la crise sanitaire s'aggrave. La région de Lorient voit son nombre de malades augmenter. Pour le maire de Guidel, il est donc nécessaire de respecter les règles du confinement. Pour l'heure, aucune école nautique ou fédération n'a pris position. Le mouvement reste informel mais réunit des milliers de personnes sur les réseaux sociaux.	""	TF1	11	9	2020
"\"Cet été avec vous\" : à la recherche de la plus belle plage de Théoule-sur-Mer"	"SERIE - Pendant tout l'été, \"Cet été avec vous\" vous accompagnera pour découvrir vos vacances sous le soleil. Ce lundi, cap sur Théoule-sur-Mer à la recherche de la plus belle plage.  Théoule-sur-Mer (Alpes-Maritimes) s'étend sur quinze kilomètres de littoral. Côté plages, il y en a pour tous les goûts. Si pour certains, elles ne sont que des destinations de vacances, pour d'autres, ce sont des lieux de vie où ils ont réalisé leur rêve. En revanche, pour découvrir la plus belle crique, il faut être patient et arpenter des sentiers parfois abrupts. Entre la Pointe de l'Aiguille, la plage de Gardanne ou les activités nocturnes, que préférez-vous ? Ce sujet a été diffusé dans le journal télévisé de 13H du 29/06/2020 présenté par Jean-Pierre Pernaut sur TF1. Vous retrouverez au programme du JT de 13H du 29 juin 2020 des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	6	29	2020
"\"Chaque jour j'avais l'impression que j'allais mourir\", témoigne un ancien membre de la scientologie"	"Une parole rare : celle d’un ancien membre de l'Église de scientologie. Embrigadé dès l’âge de 10 ans, cet homme se confie sur l’intérieur du mouvement sectaire.Il a eu une enfance et une adolescence loin de l’insouciance des autres jeunes de son âge. De 10 à 18 ans, celui qui se fait appeler Lucas grandit dans la scientologie, et souhaite aujourd’hui témoigner anonymement, par crainte de représailles. Au début des années 80, le jeune garçon de 15 ans est repéré par la hiérarchie de la secte, qui le juge prometteur. Ainsi, il se fait envoyer au Danemark, dans ce qu’il décrit aujourd’hui comme un camp de travail. \"14 heures de travail par jour, une demi-heure de pause pour déjeuner, interdiction de boire, interdiction d’uriner, interdiction de parler, en deux mois je perds une dizaine de kilos, j’ai l’impression d’être un zombie, j’ai l’impression qu’à chaque journée, je vais mourir\", confie-t-il aujourd’hui. Étant mineur, le jeune homme ne peut pas fuir \"Je me sens déjà coupable à accepter tout ça pour moi-même, et je suis en train de collaborer au sort des autres aussi\", explique-t-il. Pour celui qui se fait appeler Lucas, une promesse intérieure se fait : quitter la secte à 18 ans. Le projet ne sera pas si simple : le puissant dirigeant mondial de l'Église de scientologie choisit Lucas comme lieutenant. En Californie, Lucas dit alors avoir eu accès à des documents secrets, indiquant la marche à suivre, en ce qui concerne le traitement des ennemis de la secte : espionnage, campagne de fausses informations, ou encore coups montés pour détruire la réputation de certaines personnes. Contactée la scientologie réfute toutes ces informations qu'elle qualifie de \"pures inventions\"."	Philippe Denis	France 3	9	9	2020
"\"Charlie Hebdo\" : Al-Qaïda menace de nouveau l'hebdomadaire satirique"	"À l'issue de la première semaine de procès des attentats de janvier 2015, \"Charlie Hebdo\" est de nouveau menacé par l'organisation terroriste pour avoir publié les caricatures de Mahomet.Elles avaient été republiées pour marquer l'ouverture du procès de l'attentat contre Charlie Hebdo. Ces caricatures de Mahomet valent à l'hebdomadaire satirique de nouvelles menaces émanant de l'organisation terroriste Al-Qaïda. Selon certains spécialistes, il ne s'agirait pas que d'une opération de communication. \"Il faut toujours prendre les menaces d'Al-Qaïda au sérieux\", assure Wassim Nasr, journaliste à France 24. Corinne Rey, Patrick Pelloux et Riss sous étroite protection policière Charlie Hebdo et sa rédaction sont une nouvelle fois ciblés alors que le procès des accusés soupçonnés de soutien logistique aux frères Kouachi se poursuit à Paris. Sur le banc des parties civiles, la dessinatrice Corinne Rey, l'urgentiste Patrick Pelloux et le directeur de l'hebdomadaire Riss, sont tous apparus sous étroite protection policière. Riss a assuré au procès ne pas regretter la publication des caricatures, défendant la liberté du journal."	Pierre-Yves Grenu	France 3	9	12	2020
"\"Choose France\" à Versailles : les promesses d'investissement sont-elles tenues ?"	"La France a organisé une immense opération de communication pour inciter les patrons français et étrangers à investir en France. Les engagements sont-ils tenus ?Lundi 20 janvier, Emmanuel Macron s'est rendu à Versailles (Yvelines) pour l'opération \"Chose France\". 200 patrons étrangers et français vont se réunir pour vanter l'attractivité de la France. Une opération de communication au cours de laquelle les patrons français et étrangers font de nombreuses promesses d'investissement. Ces engagements sont-ils tenus ? Le journaliste Benjamin Delombre fait le point. \"Novartis, le groupe pharmaceutique, a promis 900 millions d'euros d'investissement pour la France en 2018, engagement tenu. Pour Toyota, la promesse était de 300 millions d'euros. 200 millions officiellement déboursés aujourd'hui\", expose-t-il. Des investissements tardifs Certaines entreprises n'ont quant à elles pas tenu leur parole, ou il se peut qu'elles tardent à investir. \"Google, par exemple, a mis un an et demi pour tenir ses engagements, puis il y a des projets qui sont très compromis. En 2018, par exemple, un groupe coréen, géant de la viennoiserie, a promis de débourser 20 millions d'euros pour construire une usine dans la Manche (...) Aucun des bâtiments n'est sorti de terre\", conclut le journaliste."	Philippe Denis	France 3	1	20	2020
