title	description	Authors	Source	Publication Month	Publication Day	Publication Year
""	""	""	France 2	11	2	2013
"\"Bridget Jones\" : le 3e opus par Helen Fielding"	"Helen Fielding publie le 3e opus des aventures de \"Bridget Jones\". La célèbre célibataire londonienne revient en veuve cougar, mère de 2 enfants hyperactive sur les réseaux sociaux. Les premiers tomes se sont écoulés à plus de 15 millions d'exemplaires dans 40 pays. Pourquoi un tel succès pour cette antihérdine. Elle a du charme mais quelques kilos en trop. Elle fume, elle boit, frôle parfois le ridicule. Depuis presque 20 ans, en roman puis à l'écran, Bridget Jones a conquis plusieurs générations. Ces Anglaises sont venues pour la sortie du 3e tome. Elles avouvent qu'il y a une part de Bridget en elles. On fait toutes des conneries comme elle. Elles parlent bien des rencontres avec les mecs et de comment les hommes peuvent être de vrais salauds. Vous n'avez aucun message, pas l'ombre d'un, même pas de votre mère. Ce livre a changé ma vie, il m'a redonné de l'espoir. Grâce à ce livre, je suis venue en Angleterre il y a plusieurs mois pour m'y installer. C'est au-dessus de ce pub londonien que le film situe l'appartement de Bridget Jones. C'est là qu'elle déprime les soirs de pluie. C'est la vraie vie, c'est pour ça que Bridget Jones parle à tout le monde. Elle trébuche en sortant d'un taxi, ivre comme peuvent l'être les Anglaises le samedi soir. Elle porte des tenues pas toujours du meilleur goût. Elle est imparfaite mais ça ne l'empêchera pas de trouver le grand amour. C'est une Londonienne très moderne. Quand Bridget est arrivée, ça a relâche la pression sur les femmes. Auparavant, la femme des années 80 était une femme de pouvoir. Avec elle, c'est rafraîchissant. Le 3e tome pourrait décevoir. Mark Darcy, grand amour de Bridget, est décédé. Les critiques ont assassiné le livre : à 50 ans, mademoiselle Jones n'a plus le même humour qu'à 30. Concert surprise de Paul McCartney, 71 ans, hier, à New York. Il est arrivé sur Time Square à bord d'un semi-remorque aménagé en scène. Il a joué 4 chansons de son nouvel album intitulé \"New\"."	""	France 2	10	11	2013
"\"Cash Investigation\" ce soir à 22h30"	On avait parlé de l'évasion fiscale des multinationales dans Cash Investigation. Ce soir, nouveau numéro de l'émission consacré aux récoltes de la honte. C'est à 22h25 sur France 2.	""	France 2	9	18	2013
"\"Drive\" : concurrence accrue et règlementation"	"même si les chances sont infimes. Une semaine supplémentaire de délai a été accordée. Les drives, ces entrepôts où le consommateur peut venir chercher ses courses après une commande sur Internet, sont un enjeu majeur de la grande distribution qui n'hésite pas à se faire une véritable guerre. On attend que le gouvernement encadre leur création. Et si la vague des \"drives\" ne faisait que commencer ? Jusqu'au mois dernier, ils étaient absents de ces zones commerciales. Désormais, ils sont deux à se faire face. Notre Leclerc, nous avons ensuite un Leclerc drive juste à côte. Il y a quelques semaines, \"Chrono drive\" s'est installe à 50 mètres. Une concurrence sur marche en pleine expansion. avant de venir les retirer auprès de ces points de distribution. C'est plus vite et je gagne de l'argent aussi. Je me laisse moins tenter. Je gagne du temps, cela m'évite de promener mes filles dans le magasin. On compte en France plus de 2 O00 \"drives\", un développement spectaculaire grâce à un vide juridique. Ces magasins n'ont besoin pour exister que d'un permis de construire. C'est plus simple de mettre en place un \"drive\" qu'un magasin traditionnel. Il n'y a pas besoin de déposer un dossier auprès du département, c'est un entrepôt. Ils pourraient peser en 2015 6 milliards d'euros en France. Pour le gouvernement, il est temps de réguler leur multiplification."	""	France 2	5	28	2013
"\"Elle Man\", nouveau magazine en kiosque"	"Voici leurs portraits. Nous ne les oublions pas. Et un salut confraternel à un nouveau venu dans les kiosques, \"Elle Man\". Culture, art de vivre, politique ou mode."	""	France 2	10	2	2013
"\"Talents des cités\" : remise du prix à Ismahane et Wadia Chaftar"	En bref les nouveaux lauréats du Grand Prix des Talents des cités qui récompense chaque année des créations d'entreprises innovantes dans les quartiers. Le prix a été remis à Ismahane et Wadia Chaftar. Les conditions d'expulsion ont suscité une légitime émotion. La France est un pays de droits et de liberté. Il faut être ferme et être humaine.	""	France 2	10	19	2013
11 novembre : incidents pendant les commémorations	"Autre titre, les cérémonies du 1. Novembre. On évoquera les discours et les hommages officiels. Mais d'abord, ces incidents sur les Champs-Elysées. Des sifflets, des huées ont été adressés à François Hollande. Manuel Valls dénonce l'extrême droite. Le Front national crie a l'amalgame et proteste contre des arrestations arbitraires. La cérémonie sous l'Arc de triomphe finie, François Hollande se dirige vers l'Elysée. En haut des Champs-Elysées, il est hué. Surtout issus du \"Mariage pour tous\" ces militants radicaux avaient annoncé des vendredi leur volonté d'en découdre. Certains portent un bonnet rouge. Une opération qui provoque des contestations parmi l'assistance. Hollande démission. On commémore la Grande Guerre! Quand on est républicain, on se tait. 73 personnes sont interpellées, 4 placées en garde à vue. Manuel Valls dénonce \"des manifestations liées à l'extrême droite\". Inacceptable, insupportable. On ne peut pas mettre en cause la mémoire de ceux qui sont morts pour la France, ni utiliser un rassemblement de ce type pour s'attaquer aux valeurs de la République et de notre pays. Marine Le Pen désapprouve ces comportements et rejette toute responsabilité. L'UMP condamne ces actions."	""	France 2	11	11	2013
132 millions d'euros : coût et rapport	132 millions d'euros, c'est bien sûr un gain qui fait rêver. Si cela devait vous arriver, savez-vous ce que vous feriez ?. Comment gérer une telle somme d'argent ?. Est-elle imposable ?. Eléments de réponse avec Cyril ZHA, David DOUKHAN et Daniel LEVY.	""	France 2	3	29	2013
16 ans : possibilité d'une pré-majorité ?	L'âge de la majorité va-t-il changer ? Il y a presque 40 ans, Valéry Giscard d'Estaing accédait à l'Elysée et prenait un bain de foule au volant de sa voiture. Dans sa volonté de modernité, il abaissait l'âge de cette majorité de 21 a 18 ans. Depuis, cela n'a pas bougé. La ministre de la Famille annonce qu'elle réfléchit a l'abaisser a 16 ans. Ce serait une pré-majorité qui pourrait ouvrir à un droit de vote aux élections locales. C'est une petite révolution qui se profile dans les familles. Jusqu'à aujourd'hui, les ados n'avaient pas voix au chapitre avant leurs 18 ans et la majorité. Dorénavant, le gouvernement songe a donner certains droits aux jeunes dès l'âge de 16 ans, au nom d'une maturité plus précoce. C'est une façon d'avoir confiance dans sa jeunesse. De pouvoir dire, plutôt que de passer brutalement à l'état de citoyen plein et entier à 18 ans, de dire qu'il y a un apprentissage de la citoyenneté qui pourrait s'incarner dans ce statut de pré-majorité. La ministre se défend de vouloir abaisser l'âge de la majorité. Il s'agit de créer un nouveau statut. Une pré-majorité qui donnerait le droit de vote aux élections locales et le droit de fonder une association. Je trouve que c'est une bonne chose. Les gens de 16 ans s'intéressent a la politique. Mais moi, je n'aurais pas su pour qui voter. Je pense pas qu'on ait la maturité nécessaire pour voter. Autre changement, le droit de s'opposer à une orientation scolaire ou professionnelle. Pour protéger l'enfant en difficulté familiale, la pré-majorité ouvrirait le droit de refuser de rester chez ses parents ou de refuser une famille d'accueil. Jusqu'à présent, seul un avis pouvait être recueilli par un juge. Des propositions à l'étude. Avant la fin de l'année une nouvelle loi sur la famille accordera de nouveaux droits aux jeunes dès 16 ans.	""	France 2	9	24	2013
1e mai : le défilé du Front national	En Europe du Sud, les défilés n'ont pas non plus fait le plein, malgré la crise. Images ici de Madrid. A Athènes, une grève de 24h a paralysé trains, bateaux et hôpitaux. En France, comme chaque année, le FN a réuni ses partisans entre la statue de Jeanne-d'Arc et la place de l'Opéra à Paris. Marine Le Pen s'est posée en secours. Ni droite ni gauche, Front national. Ils étaient quelques milliers, moins nombreux que l'an dernier. Portés par des sondages favorables, Marine Le Pen savoure. Nous avons déjà gagné la bataille des idées. Parce que nos idées dominent. Nous sommes le centre de gravité du débat public français. Jean-Marie Le Pen, président d'honneur du parti, est là. Il décrit le FN comme un rempart pour protéger le peuple. La défense de la France, des Français et des travailleurs. C'est le message. Les nouveaux dirigeants parlent stratégie, ils veulent gagner dans les urnes. La dynamique de rassemblement de Marine Le Pen fonctionne. On voit dans les résultats et les sondages que nous sommes un parti transversal, a droite et a gauche. Flanby, démission. Les militants demandent la démission du Président, mais pas de violence dans le cortège. Le FN veut tourner la page du parti de contestation. Marine Le Pen fait en sorte d'accéder au gouvernement. Elle a su balayer l'injuste réputation du Front national. C'est un parti de gouvernement, elle a entrepris la dédiabolisation. Le FN peut exercer le pouvoir. Le FN se projette vers les prochaines échéances électorales.	""	France 2	4	30	2013
