title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"Acqua alta\" à Venise : le réchauffement climatique seul en cause ?"	À Venise, la journée de ce samedi a été marquée par un nouvel épisode d'Acqua alta. La violence de ce phénomène dépend de facteurs imprévisibles.  En Italie, Venise est encore en état d'urgence, et ses habitants ont toujours les pieds dans l'eau. Depuis l'épisode d'Acqua alta de mardi dernier, les Vénitiens ont constaté que le phénomène se multiplie depuis le début du siècle. Le réchauffement climatique accentue la montée des eaux et la surfréquentation touristique, accompagnée de son inévitable développement urbain, fragilise les terres de Venise. Ce sujet a été diffusé dans le journal télévisé de 20H du 16/11/2019 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 20H du 16 novembre 2019 des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	11	16	2019
"\"Acte 18\" des Giles jaunes : 5 questions après les saccages sur les Champs-Elysées"	JT 13H - Paris a vécu un nouveau samedi noir le 16 mars 2019. Au lendemain de l'acte XVIII des gilets jaunes, les Champs-Élysées se sont retrouvés complètement défigurés.  Les CRS n'ont pas réussi à maintenir l'ordre sur place, faute de moyen. On voyait des policiers s'enfuir et des gendarmes pris à partie. Ces derniers ont laissé faire les casseurs. Y avait-il des consignes de retenue ? Les policiers et gendarmes étaient-ils assez nombreux ? Était-il possible de mobiliser plus d'hommes sur les Champs-Élysées ? Pourquoi les casseurs ont-ils ciblé ce quartier ? La loi anti-casseurs aurait-elle pu changer quelque chose ? Ce sujet a été diffusé dans le journal télévisé de 13h du 17/03/2019 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 13h du 17 mars 2019 des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français.	""	TF1	3	17	2019
"\"Air Cocaïne\" : les deux pilotes condamnés à six ans de prison ferme"	"JT 20H - Bruno Odos et Pascal Fauret, les deux pilotes de l'affaire \"Air Cocaïne\", ont été condamnés à six ans de prison ferme. Trois autres personnes ont écopé de peines allant jusqu'à 18 ans de reclusion.  C'est un dossier qui avait déjà défrayé la chronique en 2013. Après des multiples rebondissements, le verdict est tombé dans l'affaire \"Air Cocaïne\". Des lourdes peines de prison ont été prononcées à l'encontre des accusés. Parmi eux, les deux pilotes Bruno Odos et Pascal Fauret qui ont écopé chacun de 6 ans ferme. Ce sujet a été diffusé dans le journal télévisé de 20H du 06/04/2019 présenté par Anne-Claire Coudray. Vous retrouverez au programme du JT de 20H du 6 avril 2019 des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	4	6	2019
"\"Air Cocaïne\" : les deux pilotes vont devoir s’expliquer devant la cour d’assises spéciale des Bouches-du-Rhône"	"Le procès de l’affaire \"Air Cocaïne\" débute lundi 18 février. Clément Weill-Raynal, en direct de la cour d’assises d’Aix-en-Provence (Bouches-du-Rhône), fait le point.Les deux pilotes ont toujours clamé leur innocence. Leur procès va donc être l’occasion pour eux de s’expliquer. Clément Weill-Raynal est en direct du palais de justice d’Aix-en-Provence (Bouches-du-Rhône). \"Bruno Odos et Pascal Fauret, qui depuis le début de cette affaire clament leur innocence, réservent maintenant leurs explications à la cour d’assises spéciale des Bouches-du-Rhône, qui durant un mois et demi, va les juger au côté de sept autres accusés. Pour ces deux anciens pilotes chevronnés, cette épreuve est sans doute la plus périlleuse qu’ils aient jamais affrontée puisqu’ils encourent jusqu’à 30 ans de prison.\" Des carrières exceptionnelles dans l’armée de l’air \"Des situations dangereuses, extrêmes, ils en ont pourtant déjà connu, rappelle le journaliste. Bruno Odos a été chef de patrouille durant la guerre de Bosnie et Pascal Fauret, lui, avait reçu l’habilitation pour effectuer des missions aux commandes d’un avion équipé de missiles nucléaires. Après une carrière exceptionnelle dans l’armée de l’air, ces deux pilotes d’élite se sont-ils brulés les ailes dans ce monde doré de l’aviation d’affaires où le client est roi et où, parait-il, il faut savoir parfois piloter sans trop poser de questions ? \""	Pierre-Yves Grenu	France 3	2	18	2019
"\"Alerte enlèvement\" : un dispositif qui fait ses preuves"	"Lundi 6 mai, le petit garçon de 2 ans et demi, enlevé dimanche 5 mai à Marseille (Bouches-du-Rhône), a été retrouvé sain et sauf. L'\"alerte enlèvement\" a permis de le localiser rapidement, ce qui prouve une nouvelle fois son efficacité.Il n'a fallu que 12 heures pour retrouver Osnachi, le petit garçon âgé de 2 ans et demi, disparu dimanche 5 mai à Marseille (Bouches-du-Rhône), grâce entre autres au dispositif \"alerte enlèvement\". Nouveau succès, donc, pour cette alerte, déclenchée à 23 reprises depuis sa création en 2006. Dans 100% des cas, l'enfant a été retrouvé sain et sauf. Dans plus de la moitié des cas, ce sont des informations fournies par des témoins qui ont permis de retrouver l'enfant. Quatre critères à remplir Alors, pourquoi ne pas l'appliquer plus souvent ? \"L'\"alerte enlèvement\" déclenchée par le ministère de la Justice est un dispositif d'exception qui repose sur des critères très précis. Il s'agit d'un enlèvement avéré, pas une fugue, la victime est mineure, et sa vie mise en danger et des éléments concrets permettent la localisation \", précise le journaliste Josselin Debraux. Si ces quatre conditions ne sont pas réunies, l'\"alerte enlèvement\" n'est pas déclenchée. Ce qui peut faire polémique, comme dans le cas de l'affaire Maëlys, disparue lors d'un mariage. Les autorités avaient estimé que les critères n'étaient pas remplis."	Philippe Denis	France 3	5	6	2019
"\"Avenue de l'Europe\" : à la découverte du porte-conteneurs \"Benjamin Franklin\""	"L'émission \"Avenue de l'Europe, le mag\", qui sera diffusée mercredi 27 février sur France 3, s'intéresse à la mondialisation, avec notamment un reportage en Allemagne, dans le port d'Hambourg, où se déversent chaque jours des milliers des conteneurs en provenance de Chine.Monter à bord de cet immeuble flottant de plus de 10 m de haut, c'est prendre le pouls de la mondialisation. Il a évité les typhons en mer de Chine, traversé le canal de Suez... pour trouver à son arrivée une tempête en mer du Nord. Le Benjamin Franklin, l'un des plus gros porte-conteneurs du monde, croule sous les biens de consommation chinois à destination de toute l'Europe. À bord de ce bateau de la compagnie maritime française, un équipage international : un capitaine croate, un pilote allemand et un équipage philippin se préparent à une manœuvre très délicate, l'entrée au port d'Hambourg (Allemagne). 240 000 tonnes à bord \"En raison du très mauvais temps, le trafic est totalement ralenti dans le port. La rivière, l'Elbe, est fermée à cause des vents très forts\", explique le capitaine Danke Matulovic. \"C'est la fin du voyage Hambourg-Hambourg via la Chine, 84 jours à une vitesse de 42 km/h. Mais votre voiture ne transporte pas 240 000 tonnes à bord et ne mesure pas 400 m de long. Imaginez quatre stades de football chargés de conteneurs. C'est même plus grand que la tour Eiffel\", ajoute-t-il."	Pierre-Yves Grenu	France 3	2	27	2019
"\"Barcelona express\" ou Paris-Barcelone en auto-stop"	"Un couple normand va participer à la \"Barcelona express\". Ils devront lever le pouce pour relier Paris à la Catalogne (Espagne). Une course en auto-stop.Question auto-stop, Tony est Anaïs sont incollables. À 22 et 26 ans, ils ont pas mal de kilomètres au compteur. Ce jour-là, devant les caméras de France 3, ils leur a fallu moins d'un quart d'heure pour convaincre un automobiliste. Tony est chauffeur routier et Anaïs, esthéticienne-masseuse. De retour après presque deux ans de voyages à travers le monde, ils préparent la \"Barcelona express\" depuis plus d'un mois dans leur camping-car. Cinq jours de compétitions et 300 équipes \"C'est cinq jours de compétitions avec 300 autres équipes. On va pouvoir se mettre à l'épreuve, à travers des épreuves diverses, de l'auto-stop et puis quand même une sacrée distance en cinq jours\", explique Anaïs Fourtet, la voyageuse globe-trotteuse et compagne de Tony. \"On a jamais fait de challenge à deux, en couple\", précise Tony Poulain. Et la nouveauté, ils en raffolent. Leur périple les a mené dans bon nombre de pays."	Pierre-Yves Grenu	France 3	7	11	2019
"\"Boulevard des airs\" : l'album \"Je me dis que toi aussi\" triomphe"	"JT 13H - Le groupe \"Boulevard des airs\" est une nouvelle fois sous les feux des projecteurs. Leur nouvel album \"Je me dis que toi aussi\" cartonne.  \"Boulevard des airs\" a vu le jour à Tarbes, dans les hautes-Pyrénées. Les membres du groupe sont des amis depuis le lycée. Un de leurs singles a été sacré chanson de l'année aux Victoires de la musique 2019. L'équipe de TF1 est allée à la rencontre des membres du groupe à Tarbes, là où tout a commencé. Ce sujet a été diffusé dans le journal télévisé de 13h du 28/04/2019 présenté par Audrey Crespo-Mara sur TF1. Vous retrouverez au programme du JT de 13h du 28 avril 2019, des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	4	28	2019
"\"Bébés sans bras\" : dans l'Ain, le cri de colère des familles de victimes"	Le comité d'experts a décidé de mener des investigations complémentaires dans le Morbihan, mais pas dans l'Ain où plusieurs cas suspects ont pourtant été signalés.Axelle Laissy et Christophe Aulen, parents d'un bébé né sans doigt à la main droite, se réveillent partagés entre incompréhension et colère, vendredi 12 juillet. Et pour cause, ils viennent d'apprendre que les autorités de santé viennent de stopper leurs investigations dans l'Ain, où plusieurs cas de malformations suspectes ont pourtant été signalés entre 2009 et 2015. Le couple garde la conviction que les malformations en séries signalées dans le périmètre sont liées à un facteur environnemental, comme l'exposition à une substance polluante ou à des pesticides. L'enquête se poursuit dans le Morbihan Mais au terme de leur enquête, vendredi 12 juillet, les autorités de santé affirment que le nombre de cas et l'étendue de la zone ne permettent pas de conclure à l'existence d'une région où le risque est anormal. En revanche, les enquêtes vont se poursuivre dès cet automne dans le Morbihan. Certains parents regrettent néanmoins qu'aucun prélèvement sur le terrain ne soit envisagé. Les investigations dureront encore plusieurs mois, sans certitude qu'une cause soit un jour identifiée.	Thomas Horeau	France 2	7	12	2019
"\"C'est des barbares\" : les propos de Jean-Luc Mélenchon sur les policiers déclenchent une polémique"	"L'essentiel JT 20H - Au cours d'une discussion informelle avec des manifestants, Jean-Luc Mélenchon a qualifié les forces de l'ordre de \"barbares\". Retour sur les faits survenus mardi, lors de la mobilisation contre la réforme des retraites à Paris.  Jean-Luc Mélenchon était présent dans un cortège de manifestants contre la réforme des retraites, mardi 24 septembre à Paris. Questionné à propos des violences policières par un manifestant, le leader de La France Insoumise a qualifié les policiers de \"barbares\", qui dit-il, aurait même pu le tuer. Comment cet échange s'est-il exactement déroulé ? Ce sujet a été diffusé dans le journal télévisé de 20H du 25/09/2019 présenté par Gilles Bouleau sur TF1. Vous retrouverez au programme du JT de 20H du 25 septembre 2019 des reportages sur l'actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	9	24	2019
