title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"Air Cocaïne\" : comment les deux pilotes ont pu s'évader ?"	Les zones d'ombre restent nombreuses sur les conditions d'évasion des deux hommes.Pascal Fauret et Bruno Odos, les deux pilotes français condamnés à 20 ans de prison en République dominicaine pour trafic de cocaïne, ont quitté le pays pour rejoindre la France. La nouvelle a été officialisée le 26 octobre. Comment ont-ils pu parcourir 7 000 kilomètres s'en être inquiétés. Les deux pilotes se veulent discrets afin disent-ils de protéger ceux qui leur ont tendu la main. La réponse est-elle dans leur passé militaire ? Avant d'être dans l'aviation civile, Pascal Fauret a été commandant en second dans la Marine. Bruno Odos fut également dans la Marine avant de rejoindre l'armée de l'air. L'hypothèse d'une aide logistique par d'anciens amis militaires n'est pas à écarter. Le volet français commence De son côté, le Quai d'Orsay affirme que l'État français n'est en rien impliqué dans cette opération d'exfiltration. Reste une interrogation sur le rôle joué par un eurodéputé du Front national. Aymeric Chauprade leur a rendu visite le 17 octobre et était au courant du projet d'évasion. Y a-t-il participé ? Le mystère demeure. En attendant, les deux pilotes ont été mis en examen par une juge marseillaise qui enquête sur un vaste trafic de drogue entre la République dominicaine et l'Europe. Ils seront donc bientôt convoqués pour un interrogatoire poussé.	Elsa Pallot	France 2	10	27	2015
"\"Air Cocaïne\" : la fuite des deux pilotes \"est un acte irresponsable\", dit un accusé resté en République dominicaine"	"France 2 a rencontré Alain Castany, mis en cause dans l'affaire \"Air Cocaïne\".Il est soucieux. Alain Castany est l'un des deux Français, mis en cause dans l'affaire \"Air Cocaïne\", resté en République dominicaine. Après avoir écouté l'interview des deux pilotes en fuite sur France 2, mardi 27 octobre, il estime que leur exfiltration est \"un acte irresponsable\". Pour lui, \"leur départ est totalement déloyal\". \"Ils ne pouvaient ignorer qu'en s'enfuyant ainsi, ils allaient mettre l'un des membres de leur équipage dans une situation difficile\", poursuit Alain Castany. Il espérait un rapatriement sanitaire Le Français a été fauché par une moto il y a une dizaine de jours et sort d'une lourde opération. Il espérait être rapatrié en France pour des raisons sanitaires. Mais il est persuadé aujourd'hui que la procédure sera bloquée. \"Je suppose que maintenant, ça va être très difficile d'obtenir mon rapatriement alors que c'était quelque chose qui était tout à fait possible compte tenu des rapports médicaux et des risques d'amputation\", estime-t-il."	Thomas Horeau	France 2	10	28	2015
"\"Air cocaïne\" : 14 personnes, dont quatre Français, jugées en République dominicaine"	"Les suspects sont accusés d'avoir organisé un trafic de drogue entre la France et la République dominicaine. Le procès débute, lundi, à Saint-Domingue, après deux ans d'instruction et plusieurs reports.Quatorze personnes, dont quatre Français, accusées de trafic de cocaïne entre la République dominicaine et le France, sont jugées, à partir de lundi 9 mars, à Saint-Domingue dans le cadre de l'affaire appelée \"Air cocaïne\". Le 13 mars 2013, deux pilotes Pascal Fauret et Bruno Odos, leur passager Nicolas Pisapia et une quatrième personne, le \"broker\" (un apporteur d'affaires dans le jargon) Alain Castany, sont interpellés sur le tarmac de la station balnéaire dominicaine de Punta Cana à bord d'un Falcon 50, propriété du lunetier français Alain Afflelou. L'appareil est affrété par une société de location, SN-THS, basée à Bron près de Lyon (Rhône). Lors de leur intervention, les forces de l'ordre trouvent 680 kg de cocaïne dans l'avion répartis dans 26 valises. Dans la foulée, une quarantaine d'agents des douanes, de la police anti-drogue et des services migratoires de l'île sont également interpellés. \"L'histoire s'est écrite sans nous\" Les deux pilotes, aujourd'hui assignés à résidence en République dominicaine après quinze mois de détention, ont toujours nié avec eu connaissance de la nature de la cargaison chargée à bord de leur appareil. \"On a été arrêtés dans un gros coup de chalut qui devait emporter tout un réseau\", souligne de son côté pour l'AFP Bruno Odos. A mots couverts, les pilotes et leurs proches dénoncent une mise en scène destinée à redorer le blason d'une partie des forces de sécurité locales : \"Nous n'avons jamais été auditionnés par les Dominicains. Seulement 10 minutes par la DEA (l'agence anti-drogue américaine). L'histoire s'est écrite sans nous\"."	Thomas Horeau	France 2	3	9	2015
"\"Cash Investigation\" : chez Pages Jaunes, le formateur traite ses télévendeurs de \"baltringues\""	"\"Cash Investigation\" se penche sur les actionnaires et leurs dividendes, de plus en plus importants. Les fonds d'investissement imposent aussi des méthodes musclées pour faire grimper leurs profits, comme chez Pages Jaunes. Extrait.Un chiffre inquiète bon nombre d'experts. Il s'agit de la rémunération versée aux actionnaires. Le total de ces dividendes devrait atteindre 1 200 milliards d'euros en 2015. Dans une enquête de Cash investigation, diffusée ce mardi 3 mars, une équipe de France 2 s'est intéressée à la place grandissante de ces actionnaires. Dans certaines entreprises, à l'instar de Sanofi, les fonds d'investissement ont imposé des méthodes de management musclées pour retirer toujours plus de profits. \"Je veux que ce soit Wall Street\" C'est aussi le cas de l'entreprise Pages Jaunes. Pendant une formation de télévendeurs, la pression est déjà forte. \"Vous êtes des conseillers commerciaux. Vous êtes des p****** de télévendeurs dont le seul et unique but est votre réussite commerciale. Mouillez le maillot ! Transpirez ! Levez-vous ! Bougez ! Montez sur les tables. Faites-moi du théâtre ! Je veux que ce soit Wall Street\", lance l'un des formateurs. Quand un employé n'atteint pas les objectifs, le chef dénonce ses mauvais résultats devant ses collègues : \"T'es moins bon que Sébastien. Mais t'as pas d'orgueil, en fait, t'as pas d'honneur. T'es pas un militaire, toi. Je comprends pourquoi tu as quitté l'armée. T'es un baltringue !\" peste alors le responsable. Mais ce n'est pas tout. Dans ce numéro, Cash Investigation révèle aussi le montant du parachute doré touché par l’ex-patron de Sanofi, Christopher Viehbacher. La suite de l'enquête est à découvrir ici."	Thomas Horeau	France 2	3	3	2015
"\"Charlie Hebdo\" : Hollande a reçu Sarkozy"	"Le président de la République va recevoir tous les chefs de partis ces prochains jours.Après les tragiques événements au siège de Charlie Hebdo, le chef de l'État a décidé de recevoir tous les chefs de partis. Ce jeudi 8 janvier, au matin, il a accueilli Nicolas Sarkozy à l'Élysée. Un premier signe de l'unité nationale prônée par François Hollande. \"Une brutalité inouïe\" \"Je crois que c'était mon devoir de répondre à cette invitation, montrer ainsi le front uni de l'ensemble de ceux qui exercent des responsabilités, face à cette attaque d'une brutalité inouïe. Les hommes civilisés doivent s'unir pour répondre à la barbarie\", a affirmé le président de l'UMP. Un peu plus tôt, une réunion de crise était également organisée le 8 janvier au matin avec les principaux ministres concernés : le ministre de l'Intérieur Bernard Cazeneuve, le ministre des Affaires étrangères Laurent Fabius ainsi que le Premier ministre Manuel Valls."	Thomas Horeau	France 2	1	8	2015
"\"Charlie Hebdo\" : l'enquête avance"	"Après l'attaque contre \"Charlie Hebdo\", mercredi 7 janvier, l'enquête avance rapidement. La carte d'identité d'un des suspects et les traces d'ADN retrouvées dans la voiture ont permis d'identifier les agresseurs.Après l'attaque contre Charlie Hebdo, mercredi 7 janvier, les deux suspects, toujours en fuite, ont rapidement été identifiés. Selon Audrey Goutard, journaliste à France 2, la police scientifique a \"ratissé la voiture qui a été retrouvée. Les suspects ont laissé énormément de traces\". L'ADN correspond à la carte d'identité La carte d'identité de l'aîné des deux frères suspectés d'être les assaillants, Saïd Kouachi, a été retrouvée dans la voiture abandonnée par les fuyards dans le 19e arrondissement de Paris. \"Les ADN ont été immédiatement 'matchés'... Le nom correspond à une vieille connaissance de la police et à cette carte d'identité\", a expliqué la journaliste sur le plateau. Par ailleurs, les deux suspects ont été aperçus dans une station-service. Il n'y a pour l'instant \"aucun doute sur la présence de ces deux frères dans cette affaire\" a ajouté Audrey Goutard."	Thomas Horeau	France 2	1	8	2015
"\"Charlie Hebdo\" : la communauté musulmane sous le choc"	"La communauté musulmane, qui condamne fermement l'attentat perpétré contre \"Charlie Hebdo\" mercredi 7 janvier, craint une nouvelle stigmatisation de l'islam.Les fidèles de la Grande Mosquée de Strasbourg ne cachent pas leur indignation suite à l'attentat terroriste contre l'hebdomadaire satirique Charlie Hebdo, qui a fait 12 morts et 4 blessés. \"C'est choquant, atroce, inhumain. Ça me révolte\", s'indigne un fidèle. \"Ils se sont attaqués à des gens innocents, qui défendent des minorités\", déclare un autre. \"On veut tuer la démocratie\" De nombreux musulmans ont tenu à se désolidariser des actes barbares perpétrés au nom de l'islam. \"On veut tuer la démocratie, on veut tuer la liberté, on veut tuer les intellectuels aujourd’hui !\" s'exclame un fidèle en colère, avant de rappeler, ému, le rôle indispensable des médias dans notre société : \"Qu'est-ce qu'il va nous rester si vous n'êtes pas là ? Nous sommes terrorisés.\" Alors que les représentants de la communauté musulmane de France ont appelé à la solidarité et à la condamnation de l’attentat contre Charlie Hebdo, des actes antimusulmans ont été signalés aujourd'hui en France."	Thomas Horeau	France 2	1	8	2015
"\"Charlie Hebdo\" : la une qui fâche le monde musulman"	"La une de \"Charlie Hebdo\" représentant une caricature du prophète Mahomet provoque la colère du monde musulman. Le point avec France 2.La caricature du prophète Mahomet en une du dernier numéro de Charlie Hebdo, publiée mercredi 14 janvier, a provoqué la colère d'une partie du monde musulman. Au Pakistan, ils ont été des milliers à défiler à Lahore, l'une des principales villes du pays. Sur les banderoles, on peut lire \"Maudit soit Charlie Hebdo\". \"Nous demandons que les caricaturistes soient pendus. Nous voulons qu'ils meurent parce que nous aidons notre prophète\", a déclaré l'un des manifestants. En Iran, au Maroc, en Égypte, en Jordanie, les autorités condamnent ces caricatures. \"Une provocation pour 1,7 milliard de musulmans dans le monde\" Au Liban, les dignitaires religieux n'hésitent pas à monter au créneau. \"Nous avions déjà condamné les premières caricatures de Mahomet, c'est encore pire de les publier à nouveau. C'est une provocation pour 1,7 milliard de musulmans dans le monde\", déclare le porte-parole du mufti libanais. En Turquie, des manifestants protestent au pied de l'immeuble d'un journal d'opposition, le seul du monde musulman à avoir publié une grande partie du dernier numéro de Charlie Hebdo. \"Ce journal impie devra rendre des comptes\", menacent-ils."	Elsa Pallot	France 2	1	15	2015
"\"Charlie Hebdo\" : le dernier adieu au dessinateur Charb"	"Vendredi 16 janvier dans la matinée, un dernier hommage a été rendu au dessinateur Charb, directeur de la publication Charlie Hebdo. Une équipe de France 2 était sur place.Vendredi 16 janvier, un dernier hommage a été rendu au dessinateur Charb, directeur de Charlie Hebdo, à Pontoise (Val-d'Oise). Le cercueil est arrivé dans la salle au son de l'Internationale. Amis, proches, famille et anonymes ont assisté à une cérémonie rythmée par des discours et de la musique. Luz, Jean-Luc Mélenchon et Pierre Laurent, le secrétaire national du PCF se sont succédé à la Tribune. \"Beaucoup trop de gens oublient que sans la laïcité, on ne serait pas là à discuter tranquillement et j'ai moins peur des extrémistes religieux que des laïcs qui se taisent\", a prononcé Malika, rédactrice à Charlie Hebdo, citant un discours de Charb. À l'extérieur, 300 personnes suivent avec émotion la cérémonie. \"Ils voulaient nous coucher, ils ont réussi à nous mettre debout\" À fin de la cérémonie, Patrick Pelloux, médecin urgentiste et chroniqueur à Charlie Hebdo dit adieu à son ami : \"ils voulaient nous coucher, ils ont réussi à nous mettre debout. Ils voulaient nous faire peur, ils ont remis le peuple de France dans la rue avec des valeurs de la République\". Le cercueil a quitté la salle sous les applaudissements de la foule. L'inhumation de Charb a lieu plus tard dans la journée dans la plus stricte intimité."	Thomas Horeau	France 2	1	16	2015
"\"Charlie Hebdo\" : les suspects reconnus par le gérant d'une station-service"	"Les deux suspects ont été aperçus dans une station-service de l'Aisne. La police et les gendarmes sont sur place.La traque des auteurs présumés de l'attentat contre Charlie Hebdo se concentre autour d'une station-service de l'Aisne, où les deux suspects ont été reconnus par le gérant. Selon Hugo Clément, envoyé spécial de France 2 sur place, \"la police judiciaire et les gendarmes sont actuellement dans la station-service, ils sont en train de faire des constatations et de visionner les images des caméras de vidéosurveillance pour éventuellement récolter un indice supplémentaire\". Les tireurs toujours en fuite De nombreux barrages de gendarmes lourdement armés ont été mis en place. Leur localisation n'a pas été dévoilée pour ne pas donner d'informations aux tireurs toujours en fuite, mais la zone est totalement quadrillée. La carte d'identité et les traces d'ADN retrouvées dans la voiture avaient permis d'identifier les auteurs de l'attentat contre Charlie Hebdo, qui a fait 12 morts et 4 blessés."	Thomas Horeau	France 2	1	8	2015
