title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"Affaire Buisson\" : les réactions politiques"	D'aucun avaient leur Iphone sur le bureau, ils enregistraient. Globalement, le monde politique est choqué, parfois même outré, par les méthodes de Patrick Buisson. Des enregistrements clandestins réalisés par un des conseillers les plus proches du chef de l'Etat, on n'avait jamais vu cela. A l'UMP, les condamnations, parfois très dures, se multiplient. A gauche aussi, cette pratique est décriée. C'était l'endroit où la classe politique avait rendez-vous hier. A la sortie, ils apprennent les agissements de patrick Buisson. Le moins que l'on puisse dire, c'est que ce sont des moeurs étranges. Attali avait fait la même chose avec Mitterrand. Est-ce une habitude à l'Elysée. Ce matin, droite et gauche disqualifient ces pratiques. Il y a de quoi tomber de sa chaise! Ecouter quelqu'un à son insu est une extrême violence. C'est innaceptable. Je suis atterrée. C'est une question de morale publique. Je suis très attachée aux institutions et à leur respect. Nicolas Sarkozy ne réagit pas. Un proche traduit sa pensée. La confiance a été trahie, et nous vivons tous cet événement comme une sorte de viol. La porte-parole du gouvernement ne minimise pas. C'est une affaire exceptionnellement grave. Des écoutes sur les plus hautes personnalités de l'Etat. J'imagine que les personnes concernées vont porter plainte. Si N. Sarkozy ne dépose pas plainte, le PS envisage de démander la création d'une commission d'enquête parlementaire.	""	France 2	3	5	2014
"\"Affaire Buisson\" : www.francetvinfo.fr"	Elise Lucet : Merci Nathalie. Et si vous voulez en savoir plus sur cette affaire, n'hésitez pas à consulter notre site internet francetvinfo.fr.	""	France 2	3	5	2014
"\"Archeologia\", un jeu de société sur l'archéologie \"made in France\""	"Énorme succès pour un jeune ardéchois, créateur d'un jeu de société. Une équipe de France 3 revient sur cette success-story.Un jeune maçon ardéchois, passionné de préhistoire a eu l'idée de créer un jeu de société sur l'archéologie. En quelques mois, plusieurs milliers de boites d'\"Archeologia\" ont été vendues. Olivier Laffont est maçon, mais sa passion est d'arpenter les falaises d'Ardèche et de se faufiler dans des grottes à la recherche des hommes préhistoriques. Il y a deux ans, Olivier décide d'aller plus loin, il conçoit alors dans ses temps libres les règles d'un nouveau jeu. Tout est dessiné de sa main. La grotte Chauvet juste à côté, avec ses peintures extraordinaires, l'inspire pour ses cartes et ses plateaux de jeu. Un énorme succès Olivier Laffont a fait appel à un financement participatif. Plus de 1 000 personnes ont acheté le jeu, ce qui lui a permis de le commercialiser en juin dernier. Le succès est fulgurant en France et en Europe. En deux mois, tous les jeux se sont vendus. Une réédition de 3 000 exemplaires est en cours. \"Archeologia\" est la preuve de la très bonne santé du jeu de société français. Un secteur en constante augmentation depuis les années 70."	Philippe Denis	France 3	12	21	2014
"\"Carmen\", une nouvelle version du ballet au théâtre du Rond Point"	"rance 3 présente la nouvelle version du ballet consacré à \"Carmen\".Jusqu'au 10 janvier 2015, le théâtre du Rond-Point accueille une nouvelle version du ballet \"Carmen\". On ne l'avait jamais vue de cette manière-là ! Dynamique, survoltée, jusqu'à l'étourdissement. Le public en est médusé. Cette Carmen-là arrive tout droit d'Afrique du Sud. \"Elle est indomptable\" \"Ma Carmen, je l'ai voulue libre, passionnée, violente, sensuelle, sexuelle. Et même, par moment, cruelle\", explique la danseuse chorégraphe Dada Masilo. \"Pour moi, elle est indomptable\", poursuit-elle. Dans cette nouvelle Carmen, on retrouve bien sûr le flamenco. \"Danser le flamenco, c'est génial. Cela nous oblige à avoir de la souplesse et du maintien. C'est une danse qui a des codes très stricts qui enrichit ma gestuelle\", déclare la danseuse Refiloe Mogoje. Le résultat de cette Carmen est un mélange des genres qui secoue comme une tempête."	Philippe Denis	France 3	12	27	2014
"\"Des paroles et des actes\" : numéro spécial ce soir dès 21h"	"Julian Bugier : Merci Nathalie. David Pujadas revient sur cette conférence de presse dans un numéro spécial de \"Des paroles et des actes\", avec de nombreux invités, c'est dans 20 minutes, juste après ce journal."	""	France 2	9	18	2014
"\"Envoyé spécial\" : portrait d'Arnaud Montebourg, à voir jeudi 28 août dès 20h45"	Je vous propose cet extrait d'une enquête d'Envoyé spécial, que vous découvrirez, jeudi prochain, sur Arnaud Montebourg. Dans cette séquence, tournée au printemps dernier, il évoquait un certain François Hollande. Imprévisible, ces pics peuvent tomber au détour d'une conversation sur son mandat dé président dé Conseil général. Quand il y a eu le plan de sauvetage, j'ai consulté toutes les forces du département, toute la population, je suis allé dans les cantons, j'ai passé des soirées avec les gens pour leur expliquer dans quelle situation difficile on était. C'est ce que devrait faire Hollande avec la France. Il ne fait pas assez. Pas assez. Vous lui dites ça. Je lui dis tout moi. Il ne m'écoute pas, c'est pas grave, il fait ce qu'il veut.	""	France 2	8	25	2014
"\"Ferme des mille vaches\" : la Confédération paysanne en colère"	"On l'appelle \"la ferme des mille vaches\". Près d'Abbeville (Somme), une exploitation géante de vaches laitières. Ils se sont fait interpeller sans ménagement mais ils ont le sentiment d'avoir réussi leur coup. Ce matin, 40 membres de la Confédération paysane se sont filmés en train de démonter la salle de traite des vaches. Elle pouvait permettre de traire 50 bêtes simultanément pour produire 20 fois plus de lait qu'une exploitation moyenne. Elle va faire couler tous les producteurs de lait de vache dans la région. Elle va faire baisser le prix du lait et donc supprimer des emplois. Cette ferme accueillera 1 000 vaches, une installation unique en France. Elle est conçue sur le modèle allemand de production à grande échelle. Depuis des mois, le projet déchaîne les passions dans la région. Pour les futurs exploitants, l'action d'aujourd'hui est allée trop loin. L'évolution de l'agriculteur est un débat de société qui mérite d'avoir lieu. Je ne peux pas comprendre qu'on saccage une propriété privée. En tant que citoyen, je ne peux pas comprendre ça. L'arrivée des premières vaches était prévue début juillet. Les opposants à cette ferme \"des 1 000 vaches\" ont promis d'autres actions."	""	France 2	5	28	2014
"\"Il n'a jamais été dans l'islam radical\", assure la sœur de l'agresseur de Joué-lès-Tours"	"France 2 livre le témoignage exclusif de la sœur de Bertrand Nzohabonayo.Bertrand Nzohabonayo a blessé trois policiers du commissariat de Joué-lès-Tours, samedi 20 décembre, avant d'être abattu. En passant les portes du bâtiment, il aurait crié \"Allahou Akbar\" [\"Dieu est le plus grand\", en arabe]. Si la piste terroriste est toujours explorée par les enquêteurs, la sœur de l'agresseur assure à France 2 qu'\"il n'a jamais été dans l'islam radical\". \"Il a dit 'au revoir' comme d'habitude\" De nationalité burundaise et de famille catholique, le jeune homme s'est converti à l'islam il y a quatre ans. \"Ce qu'il me disait de la religion, ce n'était pas les combats mais la science\", explique la jeune femme. Elle se rappelle la dernière fois qu'elle a vu son frère, quelques minutes avant qu'il n'attaque le commissariat. Rien dans son attitude ne laissait présager son passage à l'acte : \"Comme d'habitude, il a passé le pas de la porte et a dit 'au revoir'.\" De l'enquête en cours, elle attend \"des réponses\" et espère voir \"les vidéos de surveillance\" du commissariat. Un testament religieux aurait aussi été retrouvé au domicile de la mère de Bertrand Nzohabonayo."	Thomas Horeau	France 2	12	23	2014
"\"Ils auraient dû l'arrêter\" : la mère d'un ado parti en Syrie porte plainte contre l'Etat"	"Son garçon de 16 ans est parti rejoindre le front syrien l'année dernière, avec une simple pièce d'identité.Brian, 16 ans, a quitté la France il y a un an pour se rendre en Syrie. Avec quelques vêtements dans son sac, il affirme partir \"dormir chez un copain\", indique sa mère. Il prend en réalité l'avion pour la Turquie, depuis laquelle il rejoint la Syrie. A l'aéroport, l'adolescent a pu quitter le pays avec une simple carte d'identité. Il n'a pas eu besoin d'une autorisation de sortie du territoire pour mineure, abolie en 2012. \"Ils auraient dû l'arrêter, m'appeler ou je ne sais pas. Mais pas le laisser partir comme ça\", indique la mère, qui porte plainte contre l'Etat. Un numéro vert pour les parents Fin avril, un numéro vert (0800 005 696) a été mis à la disposition des familles et des proches de jeunes radicalisés afin qu'ils puissent prévenir les services de police de leurs doutes, d'un départ ou d'un départ imminent. Dans le cadre de la loi renforçant la lutte contre le terrorisme, le ministre de l'Intérieur peut en effet interdire la sortie du territoire pendant six mois à un Français soupçonné de participer à \"des activités terroristes\"."	Thomas Horeau	France 2	12	8	2014
"\"J'ai payé tout ce que j'avais à payer\", les parlementaires UMP réfutent les soupçons"	"Les dossiers des deux députés de l'UMP Bernard Brochand et Lucien Degauchy, ainsi que Bruno Sido, sénateur UMP, ont été transmis par la Haute autorité pour la transparence de la vie publique au procureur de la République de Paris.Ils sont soupçonnés d'avoir caché des comptes bancaires en Suisse pendant des années. Deux députés de l'UMP Bernard Brochand et Lucien Degauchy, ainsi que Bruno Sido, sénateur UMP, ont vu leurs dossiers transmis par la Haute autorité pour la transparence de la vie publique au procureur de la République de Paris. Le parquet de Paris a décidé d'ouvrir des enquêtes préliminaires sur leurs déclarations de patrimoine. La Haute autorité pour la transparence de la vie publique, qui contrôle les patrimoines des responsables politiques, émet \"un doute sérieux quant à l'exhaustivité, l'exactitude et la sincérité de leurs déclarations de situation patrimoniale en raison notamment de l'omission d'avoirs détenus à l'étranger\". Lucien Degauchy, joint au téléphone par France 2, déclare avoir régularisé sa situation en 2013. \"J'ai payé tout ce que j'avais à payer\", dit-il, parlant d'un héritage, un montant de plus de 100 000 euros. Trois ans de prison et une amende de 45 000 euros en cas d'omission L'avocat Jean-Marc Fedida, qui représente le sénateur Bruno Sido, parle lui aussi d'un héritage de son client et d'une situation qui est \"non seulement régularisée mais dans laquelle aucune partie n'a été lésée\". L'ancien maire de Cannes (Alpes-Maritimes) et député UMP Bernard Brochant, quant à lui affirme avoir toujours déclaré son compte en Suisse dans ses impôts payés en France. Il a lu un communiqué devant la presse. Détenir un compte à l'étranger n'est pas illégal, mais faudrait-il aussi le déclarer au fisc français. L'homme politique qui omet de le faire risque trois ans de prison et une amende de 45 000 euros."	Elsa Pallot	France 2	11	13	2014
